url,state,city,years,manufacturer,model,price,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,vehicle_type,paint_color,image_url
https://losangeles.craigslist.org/lac/cto/d/los-angeles-1986-s15-gmc-jimmy-28/7234571995.html,ca,los angeles,1986,gmc,s15 jimmy,2000,fair,,gas,405000,clean,automatic,,,,,,https://images.craigslist.org/00e0e_3Q5iblEBBD1_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/sgv/cto/d/los-angeles-1998-toyota-tacoma-extra-cab/7234571752.html,ca,los angeles,1998,toyota,tacoma v4,5500,excellent,4 cylinders,gas,215886,clean,manual,,rwd,compact,pickup,grey,https://images.craigslist.org/00202_l9GsunF7M5z_0t20CI_600x450.jpg
https://losangeles.craigslist.org/lac/cto/d/los-angeles-2012-bmw-x5-xdrive-35i/7234571680.html,ca,los angeles,2012,,bmx x5,13500,excellent,6 cylinders,gas,116000,clean,automatic,5UXZV4C55CL747747,4wd,full-size,SUV,white,https://images.craigslist.org/00K0K_1icj02Mv5CO_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/lgb/ctd/d/irvine-2011-mini-cooper-clubman-clean/7234571241.html,ca,los angeles,2011,mini,cooper clubman,5997,good,4 cylinders,gas,127101,clean,automatic,,fwd,compact,wagon,silver,https://images.craigslist.org/00V0V_dRpCqTA7YY6_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/sfv/cto/d/sunland-2015-mercedes-benz-c300/7234571149.html,ca,los angeles,2015,mercedes-benz,benz c300,17500,good,4 cylinders,gas,85000,clean,automatic,55SWF4JB4FU071744,rwd,full-size,sedan,black,https://images.craigslist.org/00D0D_bgTTZyu773e_0t20CI_600x450.jpg
https://losangeles.craigslist.org/sfv/cto/d/northridge-2005-honda-accord-ex/7234569590.html,ca,los angeles,2005,honda,accord ex,3200,good,4 cylinders,gas,190000,clean,automatic,,fwd,mid-size,sedan,brown,https://images.craigslist.org/00h0h_afwhJpICWGu_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/wst/ctd/d/irvine-2012-subaru-outback-25i-premium/7234569279.html,ca,los angeles,2012,subaru,outback,6997,good,4 cylinders,gas,158000,clean,automatic,,4wd,mid-size,SUV,blue,https://images.craigslist.org/00d0d_j2OnJLQE8mD_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/wst/cto/d/chatsworth-2003-toyota-4runner-sr5-v6/7234568888.html,ca,los angeles,2003,toyota,4runner sr5,3000,,,gas,206000,clean,automatic,,,,,,https://images.craigslist.org/00B0B_cMhz6Obzq60_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/sfv/cto/d/panorama-city-toyota-camry-clean-title/7234568811.html,ca,los angeles,2005,toyota,camry,5300,excellent,4 cylinders,gas,117000,clean,automatic,4T1BE32K05U014258,,,,,https://images.craigslist.org/00V0V_c4VZRPP2suT_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/sfv/cto/d/la-crescenta-2003-cadillac-escalade/7234568347.html,ca,los angeles,2003,cadillac,escalade,4350,good,8 cylinders,gas,191000,salvage,automatic,,rwd,full-size,SUV,black,https://images.craigslist.org/00N0N_buFME9GUEhR_0lM0t2_600x450.jpg
https://losangeles.craigslist.org/lac/cto/d/palmdale-2007-dodge-ram-1500-slt/7234568071.html,ca,los angeles,2007,ram,1500,8800,good,8 cylinders,gas,122000,clean,automatic,,rwd,full-size,pickup,silver,https://images.craigslist.org/00O0O_2miBtQWCnBV_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/lgb/cto/d/long-beach-2001-land-rover-discovery/7234568043.html,ca,los angeles,2001,rover,,5200,like new,8 cylinders,gas,156000,clean,automatic,,4wd,,,,https://images.craigslist.org/00g0g_bxRO5oxrf0Z_0CI0t2_600x450.jpg
