id,url,region,region_url,price,years,manufacturer,model,conditions,cylinders,fuel,odometer,title_status,transmission,VIN,drive,sizes,types,paint_color,image_url,county,state,latitude,longitude
7232644531,https://newyork.craigslist.org/brk/cto/d/brooklyn-2006-ford-e250-cargomiintruns/7232644531.html,"new york city",https://newyork.craigslist.org,2999,2006,ford,"e250 cargo van",NULL,NULL,gas,165321,clean,automatic,NULL,NULL,NULL,NULL,NULL,https://images.craigslist.org/00l0l_4mrTrJwpXTu_0CI0t2_600x450.jpg,NULL,ny,40.6424,-73.9758
7232644596,https://losangeles.craigslist.org/lgb/ctd/d/garden-grove-2014-nissan-maxima-clean/7232644596.html,"los angeles",https://losangeles.craigslist.org,0,2014,nissan,maxima,excellent,"6 cylinders",gas,NULL,clean,automatic,NULL,NULL,NULL,sedan,white,https://images.craigslist.org/00z0z_ko9eTlhKX9j_0ak07K_600x450.jpg,NULL,ca,33.7671,-117.929
7232644721,https://newyork.craigslist.org/brx/cto/d/bronx-2013-chevrolet-traverse-lt/7232644721.html,"new york city",https://newyork.craigslist.org,10900,2013,chevrolet,"traverse lt",NULL,NULL,gas,NULL,clean,automatic,NULL,NULL,NULL,NULL,NULL,https://images.craigslist.org/01313_DvtSxAXKKg_0pO0jm_600x450.jpg,NULL,ny,40.8194,-73.8606
7232645024,https://losangeles.craigslist.org/sgv/ctd/d/rosemead-2019-lexus-nx-300/7232645024.html,"los angeles",https://losangeles.craigslist.org,34500,2019,lexus,"nx 300 f sport","like new","4 cylinders",gas,22205,clean,automatic,NULL,fwd,mid-size,NULL,NULL,https://images.craigslist.org/00R0R_jqYTJVAbTPk_0ak07K_600x450.jpg,NULL,ca,34.0658,-118.0853
7232645160,https://newyork.craigslist.org/brk/cto/d/brooklyn-2006-honda-odyssey-exl-leather/7232645160.html,"new york city",https://newyork.craigslist.org,3699,2006,honda,"odyssey exl",NULL,NULL,gas,115239,clean,automatic,NULL,NULL,NULL,NULL,NULL,https://images.craigslist.org/00i0i_3hkllsBRZ1j_0CI0t2_600x450.jpg,NULL,ny,40.6424,-73.9758
7232645622,https://newyork.craigslist.org/fct/cto/d/stratford-2006-toyota-highlander-hybrid/7232645622.html,"new york city",https://newyork.craigslist.org,5000,2006,toyota,"highlander hybrid",excellent,"6 cylinders",gas,187500,clean,automatic,NULL,fwd,full-size,SUV,white,https://images.craigslist.org/01313_amfbeafZL7V_0CI0t2_600x450.jpg,NULL,ny,41.216,-73.1304
7232646662,https://losangeles.craigslist.org/sfv/ctd/d/north-hollywood-2013-honda-cr-ex-down/7232646662.html,"los angeles",https://losangeles.craigslist.org,0,2013,honda,"cr-v ex-l",NULL,NULL,gas,80617,clean,automatic,2HKRM3H79DH511195,fwd,NULL,other,grey,https://images.craigslist.org/00K0K_g8D2kebnISI_0cU08B_600x450.jpg,NULL,ca,34.18643,-118.40482
7232647383,https://losangeles.craigslist.org/wst/cto/d/gardena-international-scout-80/7232647383.html,"los angeles",https://losangeles.craigslist.org,7000,1964,NULL,"Scout 80",NULL,NULL,gas,NULL,clean,manual,NULL,NULL,NULL,NULL,NULL,https://images.craigslist.org/00O0O_c0Uxty72rLu_0ww0oo_600x450.jpg,NULL,ca,33.8925,-118.2961
7232647699,https://newyork.craigslist.org/brx/cto/d/bronx-2014-chevrolet-sonic-lt-hatchback/7232647699.html,"new york city",https://newyork.craigslist.org,3900,2014,chevrolet,"sonic lt",NULL,NULL,gas,NULL,clean,automatic,NULL,NULL,NULL,NULL,NULL,https://images.craigslist.org/00000_5R1HXolz43G_0pO0jm_600x450.jpg,NULL,ny,40.852,-73.9129
7232649330,https://losangeles.craigslist.org/sfv/cto/d/pacoima-2016-nissan-versa-note/7232649330.html,"los angeles",https://losangeles.craigslist.org,6500,2016,nissan,versa,excellent,"4 cylinders",gas,60991,salvage,automatic,NULL,fwd,compact,hatchback,silver,https://images.craigslist.org/00M0M_6WGHaiGLave_0CI0t2_600x450.jpg,NULL,ca,34.2556,-118.4208
