state,city,year,manufacturer,model,price,mileage,cylinders,drive,fuel,transmission,url,image_url
ca,los angeles,1998,toyota,tacoma v4,5500,215886,4 cylinders,rwd,gas,manual,https://losangeles.craigslist.org/sgv/cto/d/los-angeles-1998-toyota-tacoma-extra-cab/7234571752.html,https://images.craigslist.org/00202_l9GsunF7M5z_0t20CI_600x450.jpg
ca,los angeles,2011,mini,cooper clubman,5997,127101,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/lgb/ctd/d/irvine-2011-mini-cooper-clubman-clean/7234571241.html,https://images.craigslist.org/00V0V_dRpCqTA7YY6_0CI0t2_600x450.jpg
ca,los angeles,2015,mercedes-benz,benz c300,17500,85000,4 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/sfv/cto/d/sunland-2015-mercedes-benz-c300/7234571149.html,https://images.craigslist.org/00D0D_bgTTZyu773e_0t20CI_600x450.jpg
ca,los angeles,2005,honda,accord ex,3200,190000,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/sfv/cto/d/northridge-2005-honda-accord-ex/7234569590.html,https://images.craigslist.org/00h0h_afwhJpICWGu_0CI0t2_600x450.jpg
ca,los angeles,2012,subaru,outback,6997,158000,4 cylinders,4wd,gas,automatic,https://losangeles.craigslist.org/wst/ctd/d/irvine-2012-subaru-outback-25i-premium/7234569279.html,https://images.craigslist.org/00d0d_j2OnJLQE8mD_0CI0t2_600x450.jpg
ca,los angeles,2003,cadillac,escalade,4350,191000,8 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/sfv/cto/d/la-crescenta-2003-cadillac-escalade/7234568347.html,https://images.craigslist.org/00N0N_buFME9GUEhR_0lM0t2_600x450.jpg
ca,los angeles,2007,ram,1500,8800,122000,8 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/lac/cto/d/palmdale-2007-dodge-ram-1500-slt/7234568071.html,https://images.craigslist.org/00O0O_2miBtQWCnBV_0CI0t2_600x450.jpg
ca,los angeles,2009,bmw,328i,5997,148000,6 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/lgb/ctd/d/irvine-2009-bmw-328i-sedan-clean-title/7234565953.html,https://images.craigslist.org/00n0n_igD8QQub2JO_0CI0t2_600x450.jpg
ca,los angeles,2007,honda,civic ex sedan,5800,184000,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/sfv/cto/d/santa-clarita-2007-honda-civic-ex-navi/7234565068.html,https://images.craigslist.org/00P0P_IhACBgYzDW_0CI0t2_600x450.jpg
ca,los angeles,2013,hyundai,sonata gls,5999,134300,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/sgv/ctd/d/north-hollywood-2013-hyundai-sonata/7234564828.html,https://images.craigslist.org/00T0T_bLeGfhTYd4T_0CI0t2_600x450.jpg
ca,los angeles,1978,fiat,124 spider,5500,97050,4 cylinders,rwd,gas,manual,https://losangeles.craigslist.org/sfv/cto/d/northridge-1978-fiat-124-spider/7234564675.html,https://images.craigslist.org/00b0b_i1LZfyQL6sh_0t20CI_600x450.jpg
ca,los angeles,2008,honda,civic,5199,86500,4 cylinders,fwd,other,automatic,https://losangeles.craigslist.org/sfv/ctd/d/north-hollywood-2008-honda-civic-gx/7234564503.html,https://images.craigslist.org/00U0U_dJKBRZsp0VE_0CI0t2_600x450.jpg
ca,los angeles,2013,volkswagen,jetta,6999,91700,5 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/sgv/ctd/d/north-hollywood-vw-jetta-91k-miles/7234564252.html,https://images.craigslist.org/00d0d_cRMJhgu1q0E_0CI0t2_600x450.jpg
ca,los angeles,2014,kia,forte koup ex,5497,127101,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/lgb/ctd/d/irvine-2014-kia-forte-koup-ex-door/7234563929.html,https://images.craigslist.org/00K0K_8CZygVLIHwx_0CI0t2_600x450.jpg
ca,los angeles,2007,toyota,camry,6499,97600,5 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/sfv/ctd/d/north-hollywood-toyota-camry-v6-97k/7234563729.html,https://images.craigslist.org/00808_37bArboFeGV_0CI0t2_600x450.jpg
ca,los angeles,2010,honda,civic coupe,6700,169000,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/wst/ctd/d/los-angeles-2010-honda-civic-coupe/7234563713.html,https://images.craigslist.org/00707_cIL5ju9sY3i_0jm0ew_600x450.jpg
ca,los angeles,2014,volkswagen,jetta,7499,97000,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/sgv/cto/d/pasadena-2014-vw-jetta-18t-grey/7234563625.html,https://images.craigslist.org/00G0G_cnwumdHbyr9_0CI0ow_600x450.jpg
ca,los angeles,2011,subaru,forester,6997,147000,4 cylinders,4wd,gas,automatic,https://losangeles.craigslist.org/wst/ctd/d/irvine-2011-subaru-forester-premium-30/7234561593.html,https://images.craigslist.org/00G0G_gPoXTPv3oh9_0CI0t2_600x450.jpg
ca,los angeles,2014,toyota,prius plug-in,7497,172000,4 cylinders,fwd,hybrid,automatic,https://losangeles.craigslist.org/wst/ctd/d/irvine-2014-toyota-prius-plug-in/7234561003.html,https://images.craigslist.org/00b0b_bzZYOAlsD7t_0CI0t2_600x450.jpg
ca,los angeles,1979,ferrari,308 gts last of the carbureted only 18k miles time capsule !!,58888,18260,other,rwd,gas,manual,https://losangeles.craigslist.org/ant/ctd/d/concord-1979-ferrari-308-gts-spyder/7234560822.html,https://images.craigslist.org/01111_eUZW0ZZ2iAk_0cU09G_600x450.jpg
ca,los angeles,1978,ferrari,308 dino gt4 coupe * classic *,58888,40671,other,rwd,gas,manual,https://losangeles.craigslist.org/ant/ctd/d/concord-1978-ferrari-308-dino-gt4/7234560811.html,https://images.craigslist.org/00303_iNeBI1inSMo_0cU09G_600x450.jpg
ca,los angeles,2011,honda,civic sedan,7600,50000,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/lac/cto/d/norco-sale-2011-honda-civic-sedan-gas/7234560512.html,https://images.craigslist.org/00R0R_1ZmQKJ07ZTF_0CI0t2_600x450.jpg
ca,los angeles,2015,toyota,prius,7587,176000,4 cylinders,fwd,hybrid,automatic,https://losangeles.craigslist.org/wst/ctd/d/irvine-2015-toyota-prius-package-clean/7234560435.html,https://images.craigslist.org/01313_gX6YAxCSc8F_0CI0t2_600x450.jpg
ca,los angeles,1950,ford,2dr sedan,11500,10000,8 cylinders,rwd,gas,manual,https://losangeles.craigslist.org/sfv/cto/d/tujunga-1950-ford/7234560082.html,https://images.craigslist.org/00V0V_dQ17yfR3IrY_0CI0sV_600x450.jpg
ca,los angeles,2012,mini,cooper countryman s,6997,132000,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/wst/ctd/d/irvine-2012-mini-cooper-countryman-1/7234560009.html,https://images.craigslist.org/00Y0Y_eFD3adsQE9n_0CI0t2_600x450.jpg
ca,los angeles,2012,audi,a4 avant,8497,128000,4 cylinders,4wd,gas,automatic,https://losangeles.craigslist.org/wst/ctd/d/irvine-2012-audi-a4-avant-wagon-clean/7234559318.html,https://images.craigslist.org/00909_8DfjI6wOa2k_0bM07L_600x450.jpg
ca,los angeles,2012,ford,flex,7497,144000,6 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/wst/ctd/d/irvine-2012-ford-flex-limited-clean/7234559012.html,https://images.craigslist.org/00f0f_hKWRS0XbbQi_0CI0t2_600x450.jpg
ca,los angeles,2018,bmw,530e iperformance e-drive clean air vehicle w. stickers,37888,24111,4 cylinders,rwd,hybrid,automatic,https://losangeles.craigslist.org/ant/ctd/d/concord-2018-bmw-530e-iperformance-one/7234558983.html,https://images.craigslist.org/00M0M_dpRwbVfL4t8_0cU09G_600x450.jpg
ca,los angeles,2017,ford,mustang ecoboost premium,23500,26222,4 cylinders,rwd,gas,manual,https://losangeles.craigslist.org/lac/ctd/d/bellflower-2017-ford-mustang-ecoboost/7234558689.html,https://images.craigslist.org/01313_1tAVsttC6HN_0ag07K_600x450.jpg
ca,los angeles,2006,chevrolet,silverado 1500,9900,140000,8 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/lac/cto/d/norco-sale-super-clean-2006-chevrolet/7234557882.html,https://images.craigslist.org/01515_cjeTthf5pLZ_0CI0t2_600x450.jpg
ca,los angeles,2013,bmw,328i,8497,146340,4 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/lgb/ctd/d/irvine-2013-bmw-328i-sedan-clean-title/7234557849.html,https://images.craigslist.org/00c0c_3N75i6EmPvd_0CI0t2_600x450.jpg
ca,los angeles,2010,toyota,tundra,17500,112000,8 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/ant/cto/d/palmdale-2010-tundra-trd-limited-v8-2wd/7234557729.html,https://images.craigslist.org/00X0X_4lGajXM7c21_0CI0lM_600x450.jpg
