region,year,manufacturer,model,price,mileage,transmission
new york city,2006,ford,e250 cargo van,2999,165321,automatic
los angeles,2019,lexus,nx 300 f sport,34500,22205,automatic
new york city,2006,honda,odyssey exl,3699,115239,automatic
new york city,2006,toyota,highlander hybrid,5000,187500,automatic
los angeles,2016,nissan,versa,6500,60991,automatic
new york city,2017,cadillac,escalade,42995,70733,automatic
los angeles,2017,audi,q3,22900,40120,automatic
los angeles,2008,nissan,rogue sl,4950,160,automatic
new york city,2006,lincoln,town car,6800,66529,automatic
los angeles,2002,mercedes-benz,benz g500,32000,165000,automatic
los angeles,2015,chevrolet,spark ls,4950,131500,automatic
los angeles,2016,chevrolet,malibu,11995,92624,automatic
new york city,2009,honda,odyssey,4799,168076,automatic
los angeles,2014,bmw,5 series,13990,120986,automatic
new york city,2006,ford,e250 econoline,6900,120123,automatic
new york city,2013,audi,a5,17995,49490,automatic
los angeles,2008,bmw,x3,9495,77166,automatic
los angeles,2015,nissan,frontier,13995,82395,automatic
los angeles,2012,bmw,335i,12995,124980,automatic
los angeles,2006,mercury,mountaineer,3350,190900,automatic
los angeles,2015,chevrolet,express 2500,11500,145000,automatic
los angeles,2007,bmw,z4,16995,37012,manual
los angeles,2007,bmw,z4,16995,37012,manual
new york city,2010,nissan,murano s,7000,76600,automatic
los angeles,2016,lexus,is 200t,25000,85000,automatic
los angeles,1988,chevrolet,silverado 1500,8500,182000,automatic
los angeles,2001,jaguar,xj8,4900,94888,automatic
los angeles,2014,honda,accord sport,14900,50000,automatic
new york city,2015,jeep,grand cherokee,19996,74503,automatic
los angeles,2012,bmw,335i,12995,124980,automatic
los angeles,2019,toyota,tacoma,31999,12149,automatic
los angeles,2011,bmw,5 series,10850,119552,automatic
los angeles,1989,ford,f350 crew xlt custom dually,7995,176383,automatic
los angeles,2016,nissan,versa,6500,23991,automatic
los angeles,2005,toyota,sequoia,6500,200700,automatic
los angeles,2016,nissan,rogue s,9990,122090,automatic
los angeles,2008,bmw,328i,7500,124897,automatic
los angeles,2011,jeep,wrangler,24995,70424,automatic
new york city,2012,jeep,liberty,8500,98000,automatic
los angeles,2004,toyota,highlander,5400,145345,automatic
los angeles,2016,hyundai,accent,6300,111278,manual
new york city,2007,chrysler,pacifica,4399,143596,automatic
los angeles,2008,honda,civic,4800,166700,manual
los angeles,2017,nissan,rogue s,11490,59859,automatic
los angeles,2007,chevrolet,silverado 1500,11995,97365,automatic
los angeles,2002,gmc,sierra 2500hd,4500,259437,automatic
los angeles,2014,chevrolet,spark ev,6490,56100,automatic
new york city,2017,subaru,wrx,30999,18415,manual
los angeles,2017,honda,accord,16990,29000,automatic
new york city,2017,rover,sport,49895,34331,automatic
los angeles,1994,mazda,b2300,900,190000,automatic
los angeles,2006,honda,accord e-lx,3300,206000,automatic
los angeles,2017,chevrolet,sonic,9495,79396,automatic
new york city,2006,chevrolet,malibu maxx,1800,160000,automatic
los angeles,2014,bmw,328i,13995,85547,automatic
los angeles,2012,nissan,versa,6495,97818,automatic
los angeles,2014,ford,mustang v6,18500,49000,manual
new york city,2006,bmw,325xi awd,4500,88011,automatic
new york city,2010,nissan,murano s awd,4599,160000,automatic
new york city,2016,nissan,rogue,11965,83859,automatic
los angeles,2009,hyundai,elantra,4995,117500,automatic
los angeles,2008,bmw,x3,9495,77166,automatic
los angeles,2010,mercedes-benz,gl-class,10995,155710,automatic
los angeles,2010,honda,odyssey,9991,103050,automatic
los angeles,2002,mercedes-benz,benz s600,8400,86000,automatic
los angeles,2017,toyota,corolla le,14997,28000,automatic
los angeles,2008,bmw,x3,9495,77166,automatic
new york city,2019,nissan,altima,14345,32650,automatic
los angeles,2009,ford,focus sel,4995,103000,automatic
new york city,2010,mercedes-benz,benz e550,11500,102900,automatic
new york city,2003,toyota,tacoma,6999,167090,automatic
new york city,2011,ford,f-150,26900,142081,automatic
new york city,2009,subaru,forester,6800,121285,manual
new york city,1970,volvo,144 s,2950,70000,automatic
new york city,2002,honda,civic,3200,135997,automatic
new york city,2010,kia,soul + automatic,4999,121593,automatic
los angeles,2009,chevrolet,silverado,14995,130021,automatic
los angeles,2018,bmw,m2,50000,3600,manual
los angeles,2011,toyota,prius,9895,109017,automatic
los angeles,2018,toyota,prius three touring,18900,43107,automatic
los angeles,2015,mercedes-benz,c300 4matic,21500,48623,automatic
los angeles,2011,lexus,ct,10950,117900,automatic
los angeles,2012,honda,odyssey ex-l,11900,111000,automatic
los angeles,1988,jeep,wrangler,5500,156017,manual
new york city,2019,jeep,cherokee,436,21400,automatic
new york city,2012,ford,focus se,3900,120000,automatic
los angeles,2005,jeep,wrangler,19000,157000,automatic
los angeles,2006,ford,escape hybrid,3900,186000,automatic
new york city,2010,subaru,forester 2.5x premium awd,5999,161599,automatic
los angeles,2018,honda,civic type-r,37500,16069,manual
los angeles,2018,honda,civic type-r,37500,16069,manual
los angeles,2018,honda,civic type-r,37500,16069,manual
los angeles,2018,honda,civic type-r,37500,16069,manual
los angeles,1982,mercedes-benz,benz w123 300cd 300d,9000,79256,automatic
los angeles,2018,honda,civic type-r,37500,16069,manual
los angeles,2010,mercedes-benz,gl-class,10995,155710,automatic
los angeles,2018,hyundai,sonata sport sedan 4d,16500,8650,automatic
los angeles,2018,honda,civic type-r,37500,16069,manual
new york city,2016,toyota,corolla le,11000,34000,automatic
los angeles,2015,honda,civic lx sedan,9500,89486,automatic
los angeles,2015,honda,civic lx sedan,9500,89486,automatic
los angeles,2015,honda,civic lx sedan,9500,89486,automatic
new york city,2014,chevrolet,traverse,10950,101367,automatic
new york city,2013,volkswagen,passat,8500,86050,automatic
new york city,2012,kia,optima,6400,127483,automatic
los angeles,2015,honda,civic lx sedan,9500,89486,automatic
new york city,2017,hyundai,sonata,8700,122588,automatic
new york city,2012,ford,transit connect xlt,6527,190500,automatic
los angeles,2015,honda,civic lx sedan,9500,89486,automatic
los angeles,2008,ford,expedition eddie bower,8950,158000,automatic
los angeles,2016,toyota,corolla,13500,77000,automatic
los angeles,1966,gmc,1500 c10,6500,69000,manual
los angeles,1973,dodge,d-100,25000,39000,automatic
los angeles,2015,nissan,sentra,9495,67334,automatic
los angeles,2007,toyota,camry,6950,100275,automatic
los angeles,2009,honda,civic lx,6500,127000,automatic
los angeles,2015,chevrolet,suburban,24500,117000,automatic
new york city,2012,nissan,maxima,7200,155000,automatic
new york city,2008,honda,civic hybrid,4900,109000,automatic
new york city,2011,subaru,legacy 2.5i limited awd,6999,139482,automatic
los angeles,2006,mercedes-benz,s500,7000,135911,automatic
los angeles,2017,gmc,yukon slt,26750,102097,automatic
los angeles,2017,ford,transit 350,25000,86000,automatic
los angeles,2020,bmw,330i,35995,9289,automatic
new york city,2008,honda,accord lx,3999,150213,automatic
los angeles,2017,chevrolet,malibu ls,16997,22000,automatic
los angeles,2018,nissan,versa note sv,9977,53760,automatic
new york city,2012,bmw,x5,13500,107000,automatic
los angeles,2006,jeep,wrangler unlimited rubicon,22995,144307,automatic
new york city,2010,honda,accord exl v6,7700,110000,automatic
los angeles,2013,jeep,wrangler sport suv 2d,18300,88065,automatic
los angeles,2015,ford,cmax hybrid,11997,39000,automatic
los angeles,2007,honda,civic,8995,157928,manual
los angeles,2016,toyota,avalon,15995,69785,automatic
los angeles,2013,gmc,yukon,15999,131564,automatic
los angeles,1998,toyota,tacoma trd 4x4,7800,205000,automatic
los angeles,2019,honda,civic sport,17900,11160,automatic
los angeles,2005,mercedes-benz,benz e350 wagon,4800,135194,automatic
new york city,2017,chevrolet,suburban lt 1500,29900,90211,automatic
los angeles,2017,ford,focus se,13997,13000,automatic
new york city,2007,chevrolet,malibu lt,2500,137000,automatic
los angeles,2019,honda,civic sport,17900,11160,automatic
los angeles,2019,honda,civic sport,17900,11160,automatic
los angeles,2019,honda,civic sport,17900,11160,automatic
los angeles,2014,lexus,gs,17990,86000,automatic
new york city,2019,chevrolet,corvette,40895,19955,automatic
new york city,2014,chevrolet,malibu lt,7800,95000,automatic
new york city,2012,toyota,camry se,7700,155000,automatic
new york city,2014,nissan,altima 2.5 s,9499,88000,automatic
los angeles,2007,subaru,impreza wrx wagon,7000,216000,manual
los angeles,2009,ford,edge se,9450,84672,automatic
los angeles,2011,toyota,fj cruiser,21188,125669,automatic
los angeles,2017,hyundai,elantra,13588,31679,automatic
los angeles,2016,honda,civic,14588,42000,automatic
new york city,2009,volkswagen,jetta sel,2800,179500,automatic
los angeles,2017,nissan,nv 2500 hd sv,21900,50357,automatic
new york city,2002,volkswagen,golf tdi 1.9l alh,4999,250000,automatic
los angeles,2016,nissan,nv 1500 sv,17000,99696,automatic
new york city,2014,nissan,rogue sv,11999,55000,automatic
los angeles,1995,ford,e350 cargo van,4999,164556,automatic
los angeles,2005,bmw,e46 m3,15500,168000,automatic
new york city,2006,honda,element,3500,190,automatic
los angeles,2014,hyundai,sonata limited,7495,135000,automatic
new york city,2007,nissan,murano sl,5500,126000,automatic
los angeles,2008,honda,fit,8997,35000,automatic
los angeles,2013,nissan,sentra sr,6700,98000,automatic
new york city,2017,jeep,compass,12999,55000,automatic
new york city,2014,dodge,avenger se,6300,85000,automatic
los angeles,1987,mercedes-benz,benz 420 sel,7999,86200,automatic
los angeles,2015,ford,f550,23995,148835,automatic
los angeles,2019,honda,civic sport,17900,11160,automatic
new york city,2015,nissan,quest sv,10999,73000,automatic
new york city,2018,lincoln,continental,16900,104418,automatic
los angeles,2011,jeep,wrangler,24995,70424,automatic
new york city,2013,porsche,boxster,32999,41056,automatic
new york city,2006,volkswagen,passat,1999,160,automatic
los angeles,2006,jeep,wrangler unlimited rubicon,22995,144307,automatic
los angeles,2007,hyundai,elantra,4600,110064,automatic
los angeles,2017,chevrolet,colorado,27459,77223,automatic
new york city,2014,toyota,sienna,14021,78539,automatic
new york city,2004,honda,odyssey,1299,130523,automatic
new york city,2013,nissan,rogue,11046,57635,automatic
new york city,2020,mitsubishi,eclipse,16000,3000,automatic
new york city,2011,hyundai,santa fe all wheel drive,6999,64235,automatic
new york city,2012,audi,q5,12500,108484,automatic
los angeles,2013,ford,f-150,11900,200000,automatic
