,year,make,model,sub_model,city,state,mileage,price,exterior_color,interior_color,mpg_city,mpg_hwy,engine,transmission,drive_type,fuel_type,popular_feature,vehicle_history,cpo
0,2019,Nissan,['Pathfinder'],SV FWD,Stafford,TX,"28,408","$19,480",Magnetic Black Pearl,Charcoal,20,27,3.5L V-6 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Remote Engine Start', 'Adaptive Cruise Control', 'Backup Camera', 'Bluetooth', 'Third Row Seating', 'Multi-Zone Climate Control', 'Blind Spot System', 'Parking Sensors']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
1,2019,Ford,['Fusion'],Hybrid SE FWD,San Francisco,CA,"30,941","$13,397",Ruby Red Metallic Tinted Clearcoat,Unknown,43,41,2.0L Inline-4 Hybrid,Automatic,FWD,Hybrid,"['Premium Wheels', 'Remote Engine Start', 'Adaptive Cruise Control', 'Lane Keep Assist', 'Parking Sensors', 'Navigation', 'Multi-Zone Climate Control', 'Blind Spot System', 'Backup Camera', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
2,2019,Volkswagen,['Arteon'],SEL 4MOTION,Trooper,PA,"6,368","$29,699",Atlantic Blue Metallic,Mistral / Raven,20,27,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Gas,"['Premium Wheels', 'Navigation', 'Front Heated Seats', 'Multi-Zone Climate Control', 'Blind Spot System', 'Bluetooth', 'Moonroof', 'Premium Seat Material', 'Remote Engine Start', 'Adaptive Cruise Control', 'Backup Camera']","['0 reported accidents', 'Fleet or Mixed Use', 'Clean', '2']",False
3,2019,Nissan,['Sentra'],SV CVT,Bellflower,CA,"13,979","$11,200",Gun Metallic,Charcoal,29,37,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Backup Camera', 'Multi-Zone Climate Control', 'Bluetooth']","['1 reported accidents', 'Fleet or Mixed Use', 'Clean', '2']",False
4,2019,Nissan,['Sentra'],SV CVT,Murray,UT,"30,052","$11,497",Fresh Powder,Charcoal,29,37,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Backup Camera', 'Multi-Zone Climate Control', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False
5,2020,Kia,['Sorento'],LX V6 FWD,Murray,UT,"24,620","$18,097",Snow White Pearl,Black,19,26,3.3L V-6 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Backup Camera', 'Third Row Seating', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
6,2020,GMC,['Terrain'],SLT AWD,Dallas,TX,"34,434","$20,697",Summit White,Jet Black,25,28,1.5L Inline-4 Gas Turbocharged,Automatic,AWD,Gas,"['Premium Wheels', 'Front Heated Seats', 'Multi-Zone Climate Control', 'Backup Camera', 'Premium Seat Material', 'Remote Engine Start', 'Lane Keep Assist', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
7,2020,Ford,['Edge'],SEL FWD,Minneapolis,MN,"16,821","$22,897",Oxford White,Unknown,21,29,2.0L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Premium Wheels', 'Front Heated Seats', 'Multi-Zone Climate Control', 'Lane Keep Assist', 'Parking Sensors', 'Premium Audio', 'Remote Engine Start', 'Blind Spot System', 'Backup Camera', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
8,2020,Kia,['Sorento'],LX V6 FWD,Murray,UT,"25,131","$18,097",Snow White Pearl,Black,19,26,3.3L V-6 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Backup Camera', 'Third Row Seating', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
9,2019,Nissan,['Sentra'],SV CVT,Chesapeake,VA,"36,043","$11,597",Gun Metallic,Charcoal,29,37,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Backup Camera', 'Multi-Zone Climate Control', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
10,2020,GMC,['Terrain'],SLT AWD,Murray,UT,"43,083","$19,897",Graphite Gray Metallic,Jet Black,25,28,1.5L Inline-4 Gas Turbocharged,Automatic,AWD,Gas,"['Premium Wheels', 'Front Heated Seats', 'Multi-Zone Climate Control', 'Backup Camera', 'Premium Seat Material', 'Remote Engine Start', 'Lane Keep Assist', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
11,2019,Nissan,['Sentra'],SV CVT,Philadelphia,PA,"21,534","$12,499",Fresh Powder,Charcoal,29,37,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Backup Camera', 'Multi-Zone Climate Control', 'Bluetooth']","['0 reported accidents', 'Fleet or Mixed Use', 'Clean', '1']",False
12,2020,Toyota,['Corolla'],LE CVT,Murray,UT,"33,434","$13,497",Super White,Unknown,30,38,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Adaptive Cruise Control', 'Backup Camera', 'Lane Keep Assist', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
13,2020,Toyota,['Corolla'],LE CVT,Davie,FL,"28,932","$10,777",Super White,Macadamia,30,38,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Adaptive Cruise Control', 'Backup Camera', 'Lane Keep Assist', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
