,year,make,model,sub_model,city,state,mileage,price,exterior_color,interior_color,mpg_city,mpg_hwy,engine,transmission,drive_type,fuel_type,popular_feature,vehicle_history,cpo,url,img
0,2019,Chrysler,['Pacifica'],Touring L,Los Angeles,CA,"43,223","$19,480",Velvet Red Pearlcoat,Black/Alloy,19,28,3.6L V-6 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Premium Seat Material', 'Third Row Seating', 'Multi-Zone Climate Control', 'Backup Camera', 'Bluetooth', 'Power Trunk/Liftgate', 'Front Heated Seats', 'Remote Engine Start', 'Blind Spot System', 'Parking Sensors']","['0 reported accidents', 'Fleet or Mixed Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/2C4RC1BG1KR650379/2019-chrysler-pacifica/?zipcode=90077,https://listings-prod.tcimg.net/listings/172632/79/03/2C4RC1BG1KR650379/VSMHSHP6B36C7WAA3SGTN5LE44-cr-360.jpg
1,2020,Toyota,['Camry'],Hybrid LE FWD CVT,Venice,CA,143,"$26,990",Blue Streak Metallic,Beige,51,53,2.5L Inline-4 Hybrid,Automatic,FWD,Hybrid,"['Front Heated Seats', 'Adaptive Cruise Control', 'Backup Camera', 'Multi-Zone Climate Control', 'Lane Keep Assist', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/4T1C31AK8LU012352/2020-toyota-camry/?zipcode=90291,https://listings-prod.tcimg.net/listings/175576/52/23/4T1C31AK8LU012352/ZBFXDXDT7QXNY7PUGIV47PXO5A-cr-360.jpg
2,2018,Hyundai,['Elantra'],SE 2.0L Sedan Automatic,Los Angeles,CA,"110,222","$7,999",Quartz White Pearl,Black,29,38,2.0L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/5NPD74LF4JH295192/2018-hyundai-elantra/?sponsoredVehiclePosition=2,https://listings-prod.tcimg.net/listings/174146/92/51/5NPD74LF4JH295192/TUYL6VIM7Q7447BVB7XZJBFDSI-cr-360.jpg
3,2020,Toyota,['Corolla'],LE CVT,Marina Del Rey,CA,"26,803","$14,288",Black Sand Pearl,Unknown,30,38,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Adaptive Cruise Control', 'Backup Camera', 'Lane Keep Assist', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE2LP019708/2020-toyota-corolla/,https://listings-prod.tcimg.net/listings/30673/08/97/5YFEPRAE2LP019708/3TL77CJWJAXIVFF7CH3WUSJGV4-cr-360.jpg
0,2020,Toyota,['Corolla'],LE CVT,Marina Del Rey,CA,"28,051","$14,222",Unknown,Unknown,30,38,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Adaptive Cruise Control', 'Backup Camera', 'Lane Keep Assist', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",True,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE8LP018434/2020-toyota-corolla/,https://listings-prod.tcimg.net/listings/30673/34/84/5YFEPRAE8LP018434/DOKNEU4PPTN7POFD54S42MO3SI-cr-360.jpg
1,2019,Jeep,['Compass'],Trailhawk 4WD,Marina Del Rey,CA,"25,713","$19,688",White Clearcoat,Ruby Red/Black,22,30,2.4L Inline-4 Gas,Automatic,4WD,Gas,"['Premium Wheels', 'Multi-Zone Climate Control', 'Bluetooth', 'Premium Seat Material', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/3C4NJDDB3KT712952/2019-jeep-compass/,https://listings-prod.tcimg.net/listings/30673/52/29/3C4NJDDB3KT712952/TX2MX2Q75RAWKTDGKK7FSQKKRE-cr-360.jpg
2,2014,Toyota,['Corolla'],LE CVT,Santa Monica,CA,"88,334","$9,891",Slate Metallic,Black,29,38,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Backup Camera', 'Bluetooth']","['1 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHE1EP164078/2014-toyota-corolla/,https://listings-prod.tcimg.net/listings/182547/78/40/5YFBURHE1EP164078/42PHMMUELQOCIAZ5HW3DFWUXJM-cr-360.jpg
3,2019,Nissan,['Altima'],S FWD,Van Nuys,CA,"34,092","$14,988",Super Black,Charcoal,28,39,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Remote Engine Start', 'Bluetooth', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV7KC224485/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/85/44/1N4BL4BV7KC224485/2PNSIJMMLLJVBW5IMMMVXLKLEU-cr-360.jpg
0,2018,Ford,['Focus'],SE Sedan,Santa Monica,CA,"31,659","$9,894",Ingot Silver,Medium Light Stone,30,40,2.0L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Premium Wheels', 'Bluetooth', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/1FADP3F24JL295939/2018-ford-focus/,https://listings-prod.tcimg.net/listings/182547/39/59/1FADP3F24JL295939/AZAHBBWLXBUP7BCTPVEQW4J424-cr-360.jpg
1,2019,Nissan,['Altima'],S FWD,Van Nuys,CA,"35,770","$14,988",Brilliant Silver Metallic,Charcoal,28,39,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Remote Engine Start', 'Bluetooth', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV6KC247899/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/99/78/1N4BL4BV6KC247899/RE4REHMSSFT25XGYDZ3DETTMJQ-cr-360.jpg
