,url,img,year,make,model,sub_model,city,state,mileage,price,transmission,drive_type,fuel_type
0,https://www.truecar.com/used-cars-for-sale/listing/2GNAXUEV5K6286618/2019-chevrolet-equinox/?zipcode=90077,https://listings-prod.tcimg.net/listings/172632/18/66/2GNAXUEV5K6286618/JPILRGM5YGD23VGXVXGNMXAHUA-cr-360.jpg,2019,Chevrolet,['Equinox'],LT with 1LT AWD,Los Angeles,CA,"25,043","$17,980",Automatic,AWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/5N1AT2MV6LC777262/2020-nissan-rogue/?zipcode=90291,https://listings-prod.tcimg.net/listings/175576/62/72/5N1AT2MV6LC777262/TY3XAHR2FEKLV4AWVG3GDCWVMA-cr-360.jpg,2020,Nissan,['Rogue'],S AWD,Venice,CA,"6,890","$20,990",Automatic,AWD,Gas
2,https://www.truecar.com/used-cars-for-sale/listing/4T1BF1FK7HU422630/2017-toyota-camry/?sponsoredVehiclePosition=2,https://listings-prod.tcimg.net/listings/2747/30/26/4T1BF1FK7HU422630/RLSXOQEAMINF3337V64JAKKVJE-cr-360.jpg,2017,Toyota,['Camry'],SE I4 Automatic,North Hollywood,CA,"29,080","$17,669",Automatic,FWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/JTHBJ46G582204423/2008-lexus-es/,https://listings-prod.tcimg.net/listings/176989/23/44/JTHBJ46G582204423/VDTR52LVG75LTPOX3LWX2O2BMA-cr-360.jpg,2008,Lexus,['ES'],ES 350,Santa Monica,CA,"102,000","$9,559",Automatic,FWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/WDDGF4HB0EG250871/2014-mercedes-benz-c-class/,https://listings-prod.tcimg.net/listings/87910/71/08/WDDGF4HB0EG250871/LJ2VZ56SYUAIH3HSPQCBO37MEM-cr-360.jpg,2014,Mercedes-Benz,['C-Class'],C 250 Sport Sedan RWD,Los Angeles,CA,"72,324","$11,495",Automatic,RWD,Gas
2,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE8LP018434/2020-toyota-corolla/,https://listings-prod.tcimg.net/listings/30673/34/84/5YFEPRAE8LP018434/DOKNEU4PPTN7POFD54S42MO3SI-cr-360.jpg,2020,Toyota,['Corolla'],LE CVT,Marina Del Rey,CA,"28,051","$14,222",Automatic,FWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV7KC224485/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/85/44/1N4BL4BV7KC224485/2PNSIJMMLLJVBW5IMMMVXLKLEU-cr-360.jpg,2019,Nissan,['Altima'],S FWD,Van Nuys,CA,"34,092","$14,988",Automatic,FWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/1C4RJFAGXCC250688/2012-jeep-grand-cherokee/,https://listings-prod.tcimg.net/listings/176989/88/06/1C4RJFAGXCC250688/PDUUT3UM65E7T5ANJ4I7CAGNFM-cr-360.jpg,2012,Jeep,"['Grand', 'Cherokee']",Laredo 4WD,Santa Monica,CA,"89,550","$11,948",Automatic,4WD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/3C4NJDDB3KT712952/2019-jeep-compass/,https://listings-prod.tcimg.net/listings/30673/52/29/3C4NJDDB3KT712952/TX2MX2Q75RAWKTDGKK7FSQKKRE-cr-360.jpg,2019,Jeep,['Compass'],Trailhawk 4WD,Marina Del Rey,CA,"25,713","$19,688",Automatic,4WD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/WBAWR33568P153569/2008-bmw-3-series/,https://listings-prod.tcimg.net/listings/176989/69/35/WBAWR33568P153569/RC67VFXSF4FVIMJZJM2PRMLHDY-cr-360.jpg,2008,BMW,"['3', 'Series']",328i Convertible SULEV,Santa Monica,CA,"87,400","$9,000",Automatic,RWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV6KC247899/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/99/78/1N4BL4BV6KC247899/RE4REHMSSFT25XGYDZ3DETTMJQ-cr-360.jpg,2019,Nissan,['Altima'],S FWD,Van Nuys,CA,"35,770","$14,988",Automatic,FWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV5KC202968/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/68/29/1N4BL4BV5KC202968/WH6B3NKNN3TNXPNELFRTGZDB6U-cr-360.jpg,2019,Nissan,['Altima'],S FWD,Van Nuys,CA,"37,438","$14,988",Automatic,FWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/WDDNG7DBXDA534795/2013-mercedes-benz-s-class/,https://listings-prod.tcimg.net/listings/119508/95/47/WDDNG7DBXDA534795/7QXBTMUW525EEUC5XMDINNIUQ4-cr-360.jpg,2013,Mercedes-Benz,['S-Class'],S 550 Sedan RWD,North Hollywood,CA,"100,685","$22,995",Automatic,RWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/WAUAFAFL2BN002524/2011-audi-a4/,https://listings-prod.tcimg.net/listings/176989/24/25/WAUAFAFL2BN002524/7OSWU2FAZF3R7QTVERQMVOFP7M-cr-360.jpg,2011,Audi,['A4'],Premium Sedan 2.0T FrontTrak CVT,Santa Monica,CA,"105,861","$8,500",Automatic,FWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/WBA5A5C53GD526260/2016-bmw-5-series/,https://listings-prod.tcimg.net/listings/176989/60/62/WBA5A5C53GD526260/5M5QBEZZGHA2WBP4QXDO46ECQ4-cr-360.jpg,2016,BMW,"['5', 'Series']",528i Sedan RWD,Santa Monica,CA,"31,000","$21,599",Automatic,RWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/5TETX22N29Z597503/2009-toyota-tacoma/,https://listings-prod.tcimg.net/listings/66440/03/75/5TETX22N29Z597503/UAGRWXABYQL2EBBJOVN3CHUI5E-og-360.jpg,2009,Toyota,['Tacoma'],Access Cab I4 RWD Automatic,Valley Village,CA,"204,000","$9,995",Automatic,RWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/2HGFC2F76HH539636/2017-honda-civic/,https://listings-prod.tcimg.net/listings/30673/36/96/2HGFC2F76HH539636/4PVY22A4HQR4UFL7XSFXNZG46I-cr-360.jpg,2017,Honda,['Civic'],EX Sedan CVT,Marina Del Rey,CA,"45,437","$15,388",Automatic,FWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/WMWRH33568TU81291/2008-mini-cooper/,https://listings-prod.tcimg.net/listings/176989/91/12/WMWRH33568TU81291/5M2QHJU54VGVU5H4I7FWIXOVLQ-cr-360.jpg,2008,MINI,['Cooper'],S Convertible,Santa Monica,CA,"40,000","$7,900",Automatic,FWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/5TFRM5F17JX127703/2018-toyota-tundra/,https://listings-prod.tcimg.net/listings/30673/03/77/5TFRM5F17JX127703/SHIPPWCYVDUYPJ5B25YQ63PEAY-cr-360.jpg,2018,Toyota,['Tundra'],SR5 Double Cab 6.5' Bed 4.6L V8 RWD,Marina Del Rey,CA,"26,715","$30,888",Automatic,RWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV4KC153018/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/18/30/1N4BL4BV4KC153018/74Z7NXK3TBM25ENKKI6Q46WISI-cr-360.jpg,2019,Nissan,['Altima'],S FWD,Van Nuys,CA,"36,760","$14,988",Automatic,FWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/KM8J33A21HU551471/2017-hyundai-tucson/,https://listings-prod.tcimg.net/listings/213192/71/14/KM8J33A21HU551471/4HM4G2XYNUGFVOYT5PP2NVNCA4-cr-360.jpg,2017,Hyundai,['Tucson'],Sport FWD,Inglewood,CA,"54,467","$15,000",Automatic,FWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/WDCGG5HB1EG278914/2014-mercedes-benz-glk/,https://listings-prod.tcimg.net/listings/176989/14/89/WDCGG5HB1EG278914/T6LR7R7Q37FG2FQT4QLFE6PP3U-cr-360.jpg,2014,Mercedes-Benz,['GLK'],GLK 350 RWD,Santa Monica,CA,"77,842","$15,452",Automatic,RWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/YV126MFK0G2395913/2016-volvo-s60/,https://listings-prod.tcimg.net/listings/5689/13/59/YV126MFK0G2395913/EKDKT5QXRYKEDQ2S7BMDECDLBM-cr-360.jpg,2016,Volvo,['S60'],T5 Drive-E Premier FWD,Culver City,CA,"34,339","$15,078",Automatic,FWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHE6EP142951/2014-toyota-corolla/,https://listings-prod.tcimg.net/listings/87910/51/29/5YFBURHE6EP142951/WHC6TO4HVV63RZYAWF3HR3S4EY-cr-360.jpg,2014,Toyota,['Corolla'],LE CVT,Los Angeles,CA,"103,625","$7,999",Automatic,FWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/WP1AE2A29HLA75399/2017-porsche-cayenne/,https://listings-prod.tcimg.net/listings/5004/99/53/WP1AE2A29HLA75399/X6KCQKIEUNXDXUU5PAGTHP6324-cr-360.jpg,2017,Porsche,['Cayenne'],S E-Hybrid AWD,Los Angeles,CA,"15,914","$54,995",Automatic,AWD,Plug-In Hybrid
1,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV7KC124824/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/24/48/1N4BL4BV7KC124824/MANG4CFLQFESH2DY73WY3XY6BE-cr-360.jpg,2019,Nissan,['Altima'],S FWD,Van Nuys,CA,"35,986","$14,988",Automatic,FWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/JTDKN3DU9A1310992/2010-toyota-prius/,https://listings-prod.tcimg.net/listings/32157/92/09/JTDKN3DU9A1310992/BHNG2T2P7FXQI7H3FAGNPOA7ZA-cr-360.jpg,2010,Toyota,['Prius'],Two,Sherman Oaks,CA,"128,406","$6,995",Automatic,FWD,Hybrid
1,https://www.truecar.com/used-cars-for-sale/listing/JTHBE1BLXE5042224/2014-lexus-gs/,https://listings-prod.tcimg.net/listings/127974/24/22/JTHBE1BLXE5042224/GXL466GFBG3SAL2ZAO2V34ORZA-cr-360.jpg,2014,Lexus,['GS'],GS 350 RWD,Van Nuys,CA,"77,902","$17,995",Automatic,RWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/5TDKZ3DCXKS997223/2019-toyota-sienna/,https://listings-prod.tcimg.net/listings/30673/23/72/5TDKZ3DCXKS997223/ID2QRPJJB7U2HCYFBJZQGQJ2FQ-cr-360.jpg,2019,Toyota,['Sienna'],LE 8-Passenger FWD,Marina Del Rey,CA,"32,759","$22,988",Automatic,FWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/JTDEPRAEXLJ018763/2020-toyota-corolla/,https://static.tcimg.net/vehicles/primary/8fb7162e891fc9ff/2020-Toyota-Corolla-silver-full_color-driver_side_front_quarter.png?fill=solid&fit=fill&h=33.21360.jpg,2020,Toyota,['Corolla'],LE CVT,Marina Del Rey,CA,"32,570","$14,266",Automatic,FWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV7KC250651/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/51/06/1N4BL4BV7KC250651/TXKUKBM4EVEVXYZWQ5TUKUM3CQ-cr-360.jpg,2019,Nissan,['Altima'],S FWD,Van Nuys,CA,"37,819","$14,988",Automatic,FWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/4T1BF1FK7GU136047/2016-toyota-camry/,https://listings-prod.tcimg.net/listings/30673/47/60/4T1BF1FK7GU136047/OQC7OCVAE22GQV4GZQP45LB5HM-cr-360.jpg,2016,Toyota,['Camry'],XLE I4 Automatic,Marina Del Rey,CA,"41,686","$14,688",Automatic,FWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/5N1AT2MT1KC777554/2019-nissan-rogue/,https://listings-prod.tcimg.net/listings/213192/54/75/5N1AT2MT1KC777554/GYLRQXLFWE6DJTRPNGFHWXI7RI-cr-360.jpg,2019,Nissan,['Rogue'],SL FWD,Inglewood,CA,"39,280","$17,000",Automatic,FWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/1FM5K8D88KGB26143/2019-ford-explorer/?zipcode=10035,https://listings-prod.tcimg.net/listings/172632/43/61/1FM5K8D88KGB26143/7HY3A6MRAAWVQGZOOB5ZNEMROQ-cr-360.jpg,2019,Ford,['Explorer'],XLT 4WD,New York,NY,"36,630","$24,980",Automatic,4WD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/JTHKD5BH5E2197397/2014-lexus-ct/?zipcode=11372,https://listings-prod.tcimg.net/listings/175576/97/73/JTHKD5BH5E2197397/5OBVNIPAOGL6XI4ALJIHOKAIRI-cr-360.jpg,2014,Lexus,['CT'],CT 200h,Jackson Heights,NY,"57,932","$15,990",Automatic,FWD,Hybrid
