state,year,manufacturer,model,price,mileage,transmission
CA,2017,Mazda,Mazda6,15990,31654,Automatic
CA,2017,INFINITI,QX60,24980,29618,Automatic
CA,2019,Ford,Fusion,16495,31959,Automatic
CA,2009,Kia,Rio,3000,111113,Automatic
CA,2014,Mercedes-Benz,EClass,17999,69444,Automatic
CA,2019,Nissan,Altima,14988,35986,Automatic
CA,2019,Nissan,Altima,14988,36760,Automatic
CA,2011,MINI,Hardtop,6995,77111,Automatic
CA,2015,Dodge,GrandCaravan,7495,107061,Automatic
CA,2016,Buick,Encore,10495,56679,Automatic
CA,2012,Jeep,GrandCherokee,11948,89550,Automatic
CA,2013,Mercedes-Benz,SClass,34999,70709,Automatic
CA,2005,Honda,Accord,3199,133360,Automatic
CA,2014,Audi,A7,24999,77919,Automatic
CA,2013,Nissan,Versa,4109,123000,Automatic
CA,2014,MINI,Countryman,9494,149253,Manual
CA,2014,Mercedes-Benz,CLS,29999,17924,Automatic
CA,2017,Hyundai,Tucson,15000,54467,Automatic
CA,2012,BMW,7Series,18999,80860,Automatic
CA,2016,Jaguar,XF,17500,75217,Automatic
CA,2014,Toyota,Prius,10995,102826,Automatic
CA,2013,Toyota,Prius,9495,108360,Automatic
CA,2017,Porsche,Cayenne,54995,15914,Automatic
CA,2019,Nissan,Rogue,17000,39280,Automatic
CA,2017,Toyota,Camry,16998,7344,Automatic
CA,2011,Ford,Mustang,12000,30700,Manual
CA,2015,BMW,5Series,17395,91908,Automatic
CA,2014,Toyota,Corolla,7999,103625,Automatic
CA,2015,Honda,Civic,10998,37070,Automatic
CA,2012,Toyota,Prius,9250,47539,Automatic
CA,2019,Nissan,Rogue,18500,37520,Automatic
CA,2016,Kia,Optima,11992,39101,Automatic
CA,2013,Lexus,ES,16000,58200,Automatic
CA,2012,Ford,Focus,4950,92504,Automatic
CA,2018,Audi,Q5,32694,29655,Automatic
CA,2004,Maybach,57,67991,61586,Automatic
CA,2008,MINI,Cooper,7900,40000,Automatic
CA,2016,Toyota,Camry,12495,91842,Automatic
CA,2019,Toyota,Sienna,22988,32759,Automatic
CA,2008,Mazda,Tribute,4500,137824,Automatic
CA,2018,Ford,Focus,9994,31659,Automatic
CA,2011,Honda,Accord,5500,163298,Automatic
CA,2019,Nissan,Rogue,16500,33342,Automatic
CA,2015,BMW,3Series,16495,67600,Automatic
CA,2009,BMW,X3,7195,81000,Automatic
CA,2017,Ford,F150,14999,92285,Automatic
CA,2014,Audi,allroad,16999,72119,Automatic
CA,2001,Lincoln,TownCar,5900,161455,Automatic
CA,2019,Dodge,Journey,17990,34709,Automatic
CA,2014,Honda,Crosstour,12995,72430,Automatic
CA,2015,Tesla,ModelS,37995,46702,Automatic
CA,2010,Lexus,RX,9495,128008,Automatic
CA,2017,Mercedes-Benz,EClass,31999,17166,Automatic
CA,2004,Mercedes-Benz,SClass,7995,106401,Automatic
CA,2020,Toyota,Corolla,14544,26803,Automatic
CA,2019,Nissan,Rogue,18500,41805,Automatic
CA,2018,Porsche,718Cayman,58495,41842,Manual
CA,2013,MINI,Hardtop,11392,35813,Automatic
CA,2016,Honda,Civic,13894,33623,Automatic
CA,2017,Honda,Civic,15821,20518,Automatic
CA,2018,Audi,A4,24793,22908,Automatic
CA,2004,BMW,Z4,7995,91820,Manual
CA,2007,BMW,3Series,8895,80247,Automatic
CA,2015,Nissan,Altima,8999,76751,Automatic
CA,2011,Porsche,Cayenne,20399,60224,Automatic
CA,2018,Audi,A4,25094,18254,Automatic
CA,2015,Nissan,Sentra,7950,79710,Automatic
CA,2018,Audi,Q5,32694,26683,Automatic
CA,2018,Audi,Q5,29394,24871,Automatic
CA,2018,Audi,A4,24194,28042,Automatic
CA,2018,Subaru,Forester,17999,45046,Automatic
CA,2008,Lexus,ES,9559,102000,Automatic
CA,2014,Nissan,Versa,5950,53858,Manual
CA,2014,Porsche,Panamera,47995,70265,Automatic
CA,2018,Audi,Q5,35294,11110,Automatic
CA,2007,Lexus,SC,10995,149155,Automatic
CA,2014,Jaguar,XF,13988,71447,Automatic
CA,2012,Hyundai,Sonata,7999,70844,Automatic
CA,2017,Nissan,Sentra,7499,80530,Automatic
CA,2008,Jaguar,XJ,9995,131511,Automatic
CA,2018,Audi,A4,25394,15297,Automatic
CA,1999,Mercedes-Benz,SL,8995,80000,Automatic
CA,2012,Toyota,Camry,11590,83739,Automatic
CA,2015,Chevrolet,Cruze,8289,72000,Automatic
CA,2015,Honda,Civic,10998,95970,Automatic
CA,2018,Audi,Q5,32793,29501,Automatic
CA,2018,Audi,Q5,32894,30964,Automatic
CA,2017,Honda,Accord,16071,45935,Automatic
CA,2018,Ford,Escape,14499,29688,Automatic
CA,2018,Audi,Q5,32294,31095,Automatic
CA,2016,BMW,3Series,19999,45077,Automatic
CA,2017,Honda,CRV,18000,74079,Automatic
CA,2017,Honda,Accord,15494,32211,Automatic
CA,2018,Hyundai,Elantra,11300,60804,Automatic
CA,2016,BMW,3Series,16995,53148,Automatic
CA,2017,Honda,Civic,15529,33021,Automatic
CA,2015,Honda,Civic,8999,108178,Automatic
CA,2017,Honda,Accord,16163,11867,Automatic
CA,2019,Volkswagen,Jetta,14650,30634,Automatic
CA,2017,Toyota,Camry,15499,21949,Automatic
CA,2018,Audi,Q5,34994,17151,Automatic
CA,2013,Mercedes-Benz,SL,33589,46850,Automatic
