state,year,manufacturer,model,price,mileage,drive_type,transmission,fuel,url,img
CA,2017,Mercedes-Benz,GLA,25990,31834,AWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/WDCTG4GB4HJ354367/2017-mercedes-benz-gla/?zipcode=90291,https://listings-prod.tcimg.net/listings/175576/67/43/WDCTG4GB4HJ354367/YVTN4OZ3CR6VNKT3PJ2VCU7H64-cr-360.jpg
CA,2020,MINI,Hardtop,27400,2425,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/WMWXR5C09L2L43568/2020-mini-hardtop/?zipcode=90077,https://listings-prod.tcimg.net/listings/172632/68/35/WMWXR5C09L2L43568/CNQQD4VUEME2DZPIDTQW7H3OOY-cr-360.jpg
CA,2019,Hyundai,Elantra,11999,35059,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LF3KH440740/2019-hyundai-elantra/?sponsoredVehiclePosition=2,https://listings-prod.tcimg.net/listings/174146/40/07/5NPD84LF3KH440740/LYCWXIQ6763NFLXCMEIXPPAD5A-cr-360.jpg
CA,2008,Lexus,ES,9559,102000,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/JTHBJ46G582204423/2008-lexus-es/,https://listings-prod.tcimg.net/listings/176989/23/44/JTHBJ46G582204423/VDTR52LVG75LTPOX3LWX2O2BMA-cr-360.jpg
CA,2019,Nissan,Altima,14988,34092,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV7KC224485/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/85/44/1N4BL4BV7KC224485/2PNSIJMMLLJVBW5IMMMVXLKLEU-cr-360.jpg
CA,2014,Mercedes-Benz,CClass,11495,72324,RWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/WDDGF4HB0EG250871/2014-mercedes-benz-c-class/,https://listings-prod.tcimg.net/listings/87910/71/08/WDDGF4HB0EG250871/LJ2VZ56SYUAIH3HSPQCBO37MEM-cr-360.jpg
CA,2020,Toyota,Corolla,14222,28051,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE8LP018434/2020-toyota-corolla/,https://listings-prod.tcimg.net/listings/30673/34/84/5YFEPRAE8LP018434/DOKNEU4PPTN7POFD54S42MO3SI-cr-360.jpg
CA,2012,Jeep,GrandCherokee,11948,89550,4WD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/1C4RJFAGXCC250688/2012-jeep-grand-cherokee/,https://listings-prod.tcimg.net/listings/176989/88/06/1C4RJFAGXCC250688/PDUUT3UM65E7T5ANJ4I7CAGNFM-cr-360.jpg
CA,2019,Jeep,Compass,19688,25713,4WD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/3C4NJDDB3KT712952/2019-jeep-compass/,https://listings-prod.tcimg.net/listings/30673/52/29/3C4NJDDB3KT712952/TX2MX2Q75RAWKTDGKK7FSQKKRE-cr-360.jpg
CA,2008,BMW,3Series,9000,87570,RWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/WBAWR33568P153569/2008-bmw-3-series/,https://listings-prod.tcimg.net/listings/176989/69/35/WBAWR33568P153569/RC67VFXSF4FVIMJZJM2PRMLHDY-cr-360.jpg
CA,2013,Mercedes-Benz,SClass,22995,100685,RWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/WDDNG7DBXDA534795/2013-mercedes-benz-s-class/,https://listings-prod.tcimg.net/listings/119508/95/47/WDDNG7DBXDA534795/7QXBTMUW525EEUC5XMDINNIUQ4-cr-360.jpg
CA,2011,Audi,A4,8500,105861,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/WAUAFAFL2BN002524/2011-audi-a4/,https://listings-prod.tcimg.net/listings/176989/24/25/WAUAFAFL2BN002524/7OSWU2FAZF3R7QTVERQMVOFP7M-cr-360.jpg
CA,2006,Land,RoverRangeRoverSport,8000,92054,4WD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/SALSF25466A916059/2006-land-rover-range-rover-sport/,https://listings-prod.tcimg.net/listings/176989/59/60/SALSF25466A916059/KZX3UJPKGPLX2WVVLAQ5I5SVRI-cr-360.jpg
CA,2016,BMW,5Series,21599,31000,RWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/WBA5A5C53GD526260/2016-bmw-5-series/,https://listings-prod.tcimg.net/listings/176989/60/62/WBA5A5C53GD526260/5M5QBEZZGHA2WBP4QXDO46ECQ4-cr-360.jpg
CA,2009,Toyota,Tacoma,9995,204000,RWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/5TETX22N29Z597503/2009-toyota-tacoma/,https://listings-prod.tcimg.net/listings/66440/03/75/5TETX22N29Z597503/UAGRWXABYQL2EBBJOVN3CHUI5E-og-360.jpg
CA,2017,Honda,Civic,15388,45437,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/2HGFC2F76HH539636/2017-honda-civic/,https://listings-prod.tcimg.net/listings/30673/36/96/2HGFC2F76HH539636/4PVY22A4HQR4UFL7XSFXNZG46I-cr-360.jpg
CA,2008,MINI,Cooper,7900,40000,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/WMWRH33568TU81291/2008-mini-cooper/,https://listings-prod.tcimg.net/listings/176989/91/12/WMWRH33568TU81291/5M2QHJU54VGVU5H4I7FWIXOVLQ-cr-360.jpg
CA,2018,Toyota,Tundra,30888,26715,RWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/5TFRM5F17JX127703/2018-toyota-tundra/,https://listings-prod.tcimg.net/listings/30673/03/77/5TFRM5F17JX127703/SHIPPWCYVDUYPJ5B25YQ63PEAY-cr-360.jpg
CA,2019,Nissan,Altima,14988,36760,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV4KC153018/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/18/30/1N4BL4BV4KC153018/74Z7NXK3TBM25ENKKI6Q46WISI-cr-360.jpg
CA,2019,Nissan,Altima,14988,35770,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV6KC247899/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/99/78/1N4BL4BV6KC247899/RE4REHMSSFT25XGYDZ3DETTMJQ-cr-360.jpg
CA,2019,Nissan,Altima,14988,37438,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV5KC202968/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/68/29/1N4BL4BV5KC202968/WH6B3NKNN3TNXPNELFRTGZDB6U-cr-360.jpg
CA,2017,Hyundai,Tucson,15000,54467,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/KM8J33A21HU551471/2017-hyundai-tucson/,https://listings-prod.tcimg.net/listings/213192/71/14/KM8J33A21HU551471/4HM4G2XYNUGFVOYT5PP2NVNCA4-cr-360.jpg
CA,2014,Mercedes-Benz,GLK,15452,77842,RWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/WDCGG5HB1EG278914/2014-mercedes-benz-glk/,https://listings-prod.tcimg.net/listings/176989/14/89/WDCGG5HB1EG278914/T6LR7R7Q37FG2FQT4QLFE6PP3U-cr-360.jpg
CA,2016,Volvo,S60,15078,34339,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/YV126MFK0G2395913/2016-volvo-s60/,https://listings-prod.tcimg.net/listings/5689/13/59/YV126MFK0G2395913/EKDKT5QXRYKEDQ2S7BMDECDLBM-cr-360.jpg
