state,year,manufacturer,model,price,mileage,transmission,url,img
CA,2019,Chrysler,Pacifica,19480,43223,Automatic,https://www.truecar.com/used-cars-for-sale/listing/2C4RC1BG1KR650379/2019-chrysler-pacifica/?zipcode=90077,https://listings-prod.tcimg.net/listings/172632/79/03/2C4RC1BG1KR650379/VSMHSHP6B36C7WAA3SGTN5LE44-cr-360.jpg
CA,2020,Toyota,Camry,26990,143,Automatic,https://www.truecar.com/used-cars-for-sale/listing/4T1C31AK8LU012352/2020-toyota-camry/?zipcode=90291,https://listings-prod.tcimg.net/listings/175576/52/23/4T1C31AK8LU012352/ZBFXDXDT7QXNY7PUGIV47PXO5A-cr-360.jpg
CA,2018,Hyundai,Elantra,7999,110222,Automatic,https://www.truecar.com/used-cars-for-sale/listing/5NPD74LF4JH295192/2018-hyundai-elantra/?sponsoredVehiclePosition=2,https://listings-prod.tcimg.net/listings/174146/92/51/5NPD74LF4JH295192/TUYL6VIM7Q7447BVB7XZJBFDSI-cr-360.jpg
CA,2020,Toyota,Corolla,14288,26803,Automatic,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE2LP019708/2020-toyota-corolla/,https://listings-prod.tcimg.net/listings/30673/08/97/5YFEPRAE2LP019708/3TL77CJWJAXIVFF7CH3WUSJGV4-cr-360.jpg
CA,2020,Toyota,Corolla,14222,28051,Automatic,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE8LP018434/2020-toyota-corolla/,https://listings-prod.tcimg.net/listings/30673/34/84/5YFEPRAE8LP018434/DOKNEU4PPTN7POFD54S42MO3SI-cr-360.jpg
CA,2019,Jeep,Compass,19688,25713,Automatic,https://www.truecar.com/used-cars-for-sale/listing/3C4NJDDB3KT712952/2019-jeep-compass/,https://listings-prod.tcimg.net/listings/30673/52/29/3C4NJDDB3KT712952/TX2MX2Q75RAWKTDGKK7FSQKKRE-cr-360.jpg
CA,2014,Toyota,Corolla,9891,88334,Automatic,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHE1EP164078/2014-toyota-corolla/,https://listings-prod.tcimg.net/listings/182547/78/40/5YFBURHE1EP164078/42PHMMUELQOCIAZ5HW3DFWUXJM-cr-360.jpg
CA,2019,Nissan,Altima,14988,34092,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV7KC224485/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/85/44/1N4BL4BV7KC224485/2PNSIJMMLLJVBW5IMMMVXLKLEU-cr-360.jpg
CA,2018,Ford,Focus,9894,31659,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1FADP3F24JL295939/2018-ford-focus/,https://listings-prod.tcimg.net/listings/182547/39/59/1FADP3F24JL295939/AZAHBBWLXBUP7BCTPVEQW4J424-cr-360.jpg
CA,2019,Nissan,Altima,14988,35770,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV6KC247899/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/99/78/1N4BL4BV6KC247899/RE4REHMSSFT25XGYDZ3DETTMJQ-cr-360.jpg
CA,2014,Ram,1500,18991,76602,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1C6RR6GT5ES408433/2014-ram-1500/,https://listings-prod.tcimg.net/listings/182547/33/84/1C6RR6GT5ES408433/OVAZ2Z5NR7K25CQIVX5A4W5A74-cr-360.jpg
